1536,1.0
1576,1.0
1616,1.0
1656,1.0
1696,1.0
1736,1.0
1776,1.0
1816,1.0
1856,1.0
1896,1.0
1936,1.0
1976,1.0
2016,1.0
2056,1.0
2096,1.0
2136,1.0
2176,1.0
2216,1.0
2256,1.0
2296,0.99988
2336,0.9998
2376,0.99892
2416,0.9978
2456,0.99324
2496,0.98548
2536,0.96988
2576,0.9482
2616,0.9102
2656,0.85376
2696,0.78912
2736,0.69928
2776,0.61124
2816,0.51148
2856,0.41532
2896,0.32608
2936,0.24704
2976,0.1796
3016,0.12588
3056,0.08528
3096,0.05344
3136,0.035
3176,0.01928
3216,0.0128
3256,0.00668
3296,0.00364
3336,0.00224
3376,0.00132
3416,0.00064
